history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;MICEXINDEXCF;1997-12-23;Индекс МосБиржи (архив);Индекс МосБиржи (архив);79.47;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-24;Индекс МосБиржи (архив);Индекс МосБиржи (архив);78.72;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-25;Индекс МосБиржи (архив);Индекс МосБиржи (архив);79.91;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-26;Индекс МосБиржи (архив);Индекс МосБиржи (архив);80.98;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-29;Индекс МосБиржи (архив);Индекс МосБиржи (архив);83.2;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-12-30;Индекс МосБиржи (архив);Индекс МосБиржи (архив);85.05;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-06;Индекс МосБиржи (архив);Индекс МосБиржи (архив);88.97;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-08;Индекс МосБиржи (архив);Индекс МосБиржи (архив);83.56;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-09;Индекс МосБиржи (архив);Индекс МосБиржи (архив);81.26;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-12;Индекс МосБиржи (архив);Индекс МосБиржи (архив);70.61;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-13;Индекс МосБиржи (архив);Индекс МосБиржи (архив);73.34;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-14;Индекс МосБиржи (архив);Индекс МосБиржи (архив);74.16;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-15;Индекс МосБиржи (архив);Индекс МосБиржи (архив);70.62;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-16;Индекс МосБиржи (архив);Индекс МосБиржи (архив);70.61;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1998-01-19;Индекс МосБиржи (архив);Индекс МосБиржи (архив);73.4;;;;;;;2;;RUB;
